;NO;FR;ES;CH;SE;DE;AT;IT;BG;HR;PT;RO;CZ;HU;BA;RS;SI;FI;PL;SK;MK;ME
2015-01-01 00:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 01:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 02:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 03:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 04:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 05:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 06:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 07:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 08:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 09:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 10:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 11:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 12:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 13:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 14:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 15:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 16:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 17:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 18:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 19:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 20:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 21:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 22:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-01 23:00:00;5741.872440;1456.218276;3929.460188;392.444745;4065.075752;1780.845433;146.900767;303.221167;339.446815;617.352589;440.392893;376.918232;180.386505;30.407345;377.109059;67.305047;339.535647;1437.586603;249.474921;459.807261;114.563170;98.764401
2015-01-02 00:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 01:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 02:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 03:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 04:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 05:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 06:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 07:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
2015-01-02 08:00:00;5859.044840;1494.978075;4011.478343;384.530558;3884.020568;1722.537933;146.872157;289.001234;345.423924;628.159991;430.296241;383.450435;177.875952;31.654954;357.785021;68.214323;335.707479;1411.088775;276.651338;458.800421;106.773641;112.003102
