;NO;FR;ES;CH;SE;DE;AT;IT;BG;HR;PT;RO;CZ;HU;BA;RS;SI;FI;PL;SK;MK;ME
2015-01-01 00:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 01:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 02:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 03:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 04:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 05:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 06:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 07:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 08:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 09:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 10:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 11:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 12:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 13:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 14:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 15:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 16:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 17:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 18:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 19:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
2015-01-01 20:00:00;16733.943597;2114.713074;3094.556732;971.120862;9775.883954;3066.491304;290.754869;655.096837;421.113057;874.791562;293.867584;538.860673;237.817102;27.942125;423.984987;62.364216;462.211708;2693.910281;399.955743;392.446278;125.468409;141.518090
