,dE res,cost res,floor res,dE nres,cost nres,floor nres,dE tot,cost tot,floor tot
BE,0.5201531111216523,12.921299145334846,428.75,0.45706735817595434,17.035440540813347,185.36,0.5011116117713492,14.16309173797443,614.11
BG,0.6154546896617016,4.793604573841401,332.06,0.5379052729707586,7.011030195908071,88.69,0.5991080283038412,5.261016287260517,420.75
HR,0.5971013225017948,6.566582103202978,162.36,0.4899913583862817,9.691272840996039,35.76,0.5777683307959057,7.130578372047516,198.12
CY,0.5040483466468745,10.220789185918976,66.57,0.4453935187163102,13.719208115535015,8.31,0.4975389767202854,10.609035196938065,74.88
CZ,0.6730585343584782,6.491809185818843,375.33,0.5946297767321336,9.842698979136602,175.49,0.6480713104453174,7.559395057481695,550.8199999999999
DK,0.7249412151258394,15.426491326630087,355.07,0.6267016162849852,20.911949677211762,115.31,0.7008585412401749,16.771208794221337,470.38
EE,0.8086951942163529,6.6189414202556005,41.37,0.7265136816254603,11.553814340124964,12.5,0.7896257881018892,7.764029808938856,53.87
FI,0.7978668327128651,12.47892255096501,287.94,0.6918621951938942,18.685985446545487,121.6,0.7663920953921959,14.321914317587527,409.53999999999996
FR,0.5902873363157971,11.57372038338923,3115.25,0.4721670571209351,16.26316723629648,947.9,0.562730831473788,12.667730368713613,4063.15
DE,0.6220842514466188,10.576966424044258,3785.85,0.5596052456537932,15.763460980432617,1670.63,0.6029548307490871,12.164934015007496,5456.48
EL,0.5375864905415252,8.747916923778101,583.9,0.4886485884536627,12.38665809989806,73.52,0.5321137112505093,9.15484134236643,657.42
HU,0.6157635360107097,6.573475663957341,450.48,0.5406239109688223,8.934142150293223,145.85,0.5973859358357071,7.1508459237666555,596.33
IE,0.6480820312897528,16.518585708279037,210.75,0.510149524899521,19.564257047760748,82.3,0.6093451424451322,17.373930363591594,293.05
IT,0.5370793928650286,8.475299853850355,2986.71,0.46105504114501933,15.354610407453098,284.74,0.530462396148357,9.07406030778755,3271.45
LV,0.6479312455560319,6.25186051062202,68.65,0.5532393848014161,10.524116600769135,23.74,0.6235997727308931,7.349634724066034,92.39
LT,0.694883415094833,6.562781802316773,86.91,0.5876160211097103,9.297564881830573,51.92,0.6547672795642736,7.585543002982021,138.82999999999998
LU,0.6468357035212795,15.076129574963586,28.77,0.5585921960143025,21.441941160703735,14.26,0.6175920963390928,17.185738527151702,43.03
MT,0.47703511235690094,7.916704136372605,26.72,0.3336403025725808,12.628939920922962,3.14,0.4619560868136068,8.412230605344075,29.86
NL,0.5896726092440555,13.050888354843682,886.24,0.5034187635235368,17.383720658536642,549.26,0.5566696226188712,14.708743785792059,1435.5
PL,0.6378507340118936,6.19923614083976,1028.41,0.5247890654034404,8.222439301032576,498.84,0.6009218207569316,6.860067481111874,1527.25
PT,0.48494998996437166,9.281539686674858,660.95,0.41040058515721894,12.810651286691638,104.47,0.4747749536180478,9.763218097029634,765.4200000000001
RO,0.5590698176212653,5.341721152210809,358.81,0.5142821264369308,7.359310313631366,62.5,0.5524257059243654,5.641024094435739,421.31
SK,0.586356915837635,6.814660644007699,171.54,0.5341605933511167,10.009267731091219,102.14,0.5668767478356875,8.006918638288285,273.68
SI,0.6254786609686234,9.305982625806578,71.33,0.5693558177983585,12.689510376179188,14.3,0.6161062837954973,9.871023462316309,85.63
ES,0.5469761732098067,8.36562379102599,2433.82,0.447958268146727,14.188629143770761,349.24,0.5345506368705866,9.096339761717456,2783.0600000000004
SE,0.7576484713836107,12.63803285362266,473.04,0.6461285361823501,19.215976930037456,208.48,0.72353402706685,14.650255211075054,681.52
UK,0.5440408001561738,14.718458122969395,2726.83,0.45608188482623463,17.822856459144276,808.03,0.5239343624601828,15.428089335401964,3534.8599999999997
