,dE res,cost res,floor res,dE nres,cost nres,floor nres,dE tot,cost tot,floor tot
BE,0.10942366306782803,22.873230447188526,428.75,0.07948067592609204,22.81330060090718,185.36,0.10038581627068716,22.85514151148204,614.11
BG,0.16176539095449094,8.552631425990388,332.06,0.10796200573618986,9.388940602862244,88.69,0.15042416163776812,8.72891725105697,420.75
HR,0.1447983509044025,11.724381517581799,162.36,0.0963425501755972,12.978233230738308,35.76,0.1360522402943577,11.950697574832336,198.12
CY,0.09886532115248944,18.11646845344547,66.57,0.08094215481824102,18.372311417263916,8.31,0.09687625181170947,18.14486128236282,74.88
CZ,0.18284305119327451,11.616259191886721,375.33,0.13174654478088085,13.181018124968594,175.49,0.16656382039135928,12.114787831308924,550.8199999999999
DK,0.22088895437692987,27.36353313570632,355.07,0.14927632564183463,28.004593893202504,115.31,0.20333367519957574,27.520684196437823,470.38
EE,0.3119140948856504,11.990964649482345,41.37,0.21604438881274807,15.472487429770824,12.5,0.28966847903431797,12.798817531487282,53.87
FI,0.29144851521411963,22.306721555427565,287.94,0.19818347866683647,25.0236559480173,121.6,0.2637564010271058,23.11342962335478,409.53999999999996
FR,0.15606239494405802,20.585135147786882,3115.25,0.08704409772580829,21.779097640332722,947.9,0.13996098497071743,20.86367693105459,4063.15
DE,0.16011555003919511,18.89965011531027,3785.85,0.1189596588999489,21.109907489372777,1670.63,0.1475147036301624,19.576372521848924,5456.48
EL,0.11771510951608488,15.568271640656377,583.9,0.09733218359027662,16.5878043480374,73.52,0.11543566454321301,15.682287102076248,657.42
HU,0.1540684628288114,11.662292689104165,450.48,0.10747702958333193,11.964308759586876,145.85,0.14267316066582583,11.736159581395185,596.33
IE,0.17846012380088547,29.02648016541421,210.75,0.10016595882514669,26.199808334552955,82.3,0.15647203379063704,28.232639211038226,293.05
IT,0.11080701196221923,15.40830428783596,2986.71,0.07964988937764482,20.562388274951008,284.74,0.10809516275629169,15.856904717153581,3271.45
LV,0.1668267844305049,11.28824534442042,68.65,0.11455190192690333,14.09355014900488,23.74,0.15339453298948855,12.009080240630345,92.39
LT,0.19940351110423615,11.679966537533986,86.91,0.12696816689564203,12.450992505739562,51.92,0.17231395501902255,11.968316809587819,138.82999999999998
LU,0.18949295460018203,26.839498574951925,28.77,0.12508836240881505,28.714341023008505,14.26,0.16814948528461396,27.46081517521423,43.03
MT,0.0868422242662413,14.226608036102355,26.72,0.04907132986684515,16.912260178805855,3.14,0.08287033516998867,14.509024235971378,29.86
NL,0.14645595285295365,23.11983212377913,886.24,0.0975688913488452,23.279705857636838,549.26,0.12775047921885638,23.181004013057212,1435.5
PL,0.16101896477030245,10.978648766772423,1028.41,0.10146077578696952,11.011219756704532,498.84,0.14156569451825085,10.989287308345665,1527.25
PT,0.09733590984723686,16.485785037866943,660.95,0.0670359797151132,17.1556020518822,104.47,0.09320035851476192,16.57720645807307,765.4200000000001
RO,0.12546478664265798,9.486607904604996,358.81,0.09654136736328975,9.855345859591901,62.5,0.12117408928213835,9.541309008748458,421.31
SK,0.13448230906518693,12.162649530117813,171.54,0.10506684435809141,13.404081508621907,102.14,0.12350417560573525,12.62596384714649,273.68
SI,0.16692265070661644,16.514183579741434,71.33,0.11895114539602605,16.99337413649797,14.3,0.15891152696562097,16.594207227547326,85.63
ES,0.11702188821759263,15.115123852277971,2433.82,0.07865616811919446,19.000944589377802,349.24,0.11220745946393132,15.602746840724052,2783.0600000000004
SE,0.25716850372412736,22.61942618673899,473.04,0.158360026556326,25.7334030778233,208.48,0.2269425509715402,23.572005571428004,681.52
UK,0.12591196562526913,25.901168876265604,2726.83,0.0842044417661623,23.867782050904665,808.03,0.11637808578169,25.436359079980488,3534.8599999999997
